referencia_pago_id;usuario_id;cuenta_id;codigo_referencia_pago;tipo_referencia_pago;descripcion;estado;pagador_nombre;pagador_email;solicitud_tarjeta_id;fecha_creacion;fecha_vencimiento;multipago;lease;unidad_negocio;tipo_creacion;frecuencia_recordatorio;fecha_proximo_recordatorio;referencia;migrado;inventario_tarjeta_cobranza_id;fecha_asociacion
1029;609572;612551;U61C1851354;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1030;609572;612551;U61C1851355;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1031;609572;612551;U61C1851356;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1032;609572;612551;U61C1851357;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1033;609572;612551;U61C1851358;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1034;609572;612551;U61C1851359;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1035;609572;612551;U61C1851360;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1036;609572;612551;U61C1851361;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1037;609572;612551;U61C1851362;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1038;609572;612551;U61C1851363;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1039;609572;612551;U61C1851364;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1040;609572;612551;U61C1851365;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1041;609572;612551;U61C1851366;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
1042;609572;612551;U61C1851367;PAYMENT_COUPON;PAYMENT_COUPON_612551;ENABLED;;;;2013-05-23T00:00:00;;true;0;PAYMENT_COUPONS;CODE;;;;true;;2013-05-23T00:00:00
